task_name,gold_standard_file,coverage,model_name,model_configuration,num_clusters,adjusted_rand_index,adjusted_mutual_info_score,homogeneity_score,completeness_score,v_measure_score,normalized_mutual_info_score,clustering_accuracy
Clustering,kgrc_person_place,0.775,DBSCAN,metric=cosine,143,0.001728966272982,0.015109337560144,0.758959684164216,0.121744345522226,0.209829969914466,0.209829969914466,0.145
Clustering,kgrc_person_place,0.775,KMeans,"metric=enclidean, n_clusters=2",2,0.427169115025045,0.368460597730024,0.47297560025705,0.306667617651699,0.372083787061657,0.372083787061657,0.715
Clustering,kgrc_person_place,0.775,Agglomerative clustering,"metric=cosine, n_clusters=2",2,0.004596947808712,0.004455207082808,0.012851095791433,0.008519590782571,0.010246379017491,0.010246379017491,0.435
Clustering,kgrc_person_place,0.775,Ward hierarchical clustering,"metric=cosine, n_clusters=2",2,-0.003158263238109,-0.004170725853738,0.002592415575756,0.002015437326191,0.002267802912793,0.002267802912793,0.455
