task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,kgrc_scene_id,0.998452910462193,LR,,98.32554742611265
Regression,kgrc_scene_id,0.998452910462193,LR,,98.40217256941924
Regression,kgrc_scene_id,0.998452910462193,LR,,98.2997337458897
Regression,kgrc_scene_id,0.998452910462193,LR,,98.1930460629168
Regression,kgrc_scene_id,0.998452910462193,LR,,98.38987085636712
Regression,kgrc_scene_id,0.998452910462193,LR,,98.3971118809273
Regression,kgrc_scene_id,0.998452910462193,LR,,98.25812644368368
Regression,kgrc_scene_id,0.998452910462193,LR,,98.42247634000528
Regression,kgrc_scene_id,0.998452910462193,LR,,98.3880982390574
Regression,kgrc_scene_id,0.998452910462193,LR,,98.32830807558767
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,72.34830372244616
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,72.1441999728103
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,72.25719618731131
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,71.76160834746796
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,71.66518459188947
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,72.05477889562674
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,71.45691447789068
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,71.90781077235212
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,71.65858259904667
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,72.2400962256433
Regression,kgrc_scene_id,0.998452910462193,M5,,126.87304023662405
Regression,kgrc_scene_id,0.998452910462193,M5,,128.58815770725218
Regression,kgrc_scene_id,0.998452910462193,M5,,126.62136931770995
Regression,kgrc_scene_id,0.998452910462193,M5,,128.9305917386044
Regression,kgrc_scene_id,0.998452910462193,M5,,126.30448319999464
Regression,kgrc_scene_id,0.998452910462193,M5,,130.74678504920075
Regression,kgrc_scene_id,0.998452910462193,M5,,129.71941205736636
Regression,kgrc_scene_id,0.998452910462193,M5,,125.57614737597007
Regression,kgrc_scene_id,0.998452910462193,M5,,128.48383384326146
Regression,kgrc_scene_id,0.998452910462193,M5,,127.03685265718084
