test_name task_name gold_standard_file coverage model model_configuration metric score_value
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.8504444444444443
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 C45 - accuracy 0.6565555555555557
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.001 accuracy 0.7115555555555554
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.01 accuracy 0.7115555555555554
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.1 accuracy 0.7957777777777777
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1.0 accuracy 0.9183333333333336
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=10.0 accuracy 0.934777777777778
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=100 accuracy 0.9314444444444444
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.8_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1000 accuracy 0.9311111111111112
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 NB - accuracy 0.8205555555555554
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 KNN K=3 accuracy 0.8101851851851853
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 C45 - accuracy 0.6846296296296296
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.001 accuracy 0.8216666666666667
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.01 accuracy 0.8216666666666667
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.1 accuracy 0.8562962962962961
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1.0 accuracy 0.9485185185185184
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=10.0 accuracy 0.9575925925925928
