task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,kgrc_scene_id,0.998452910462193,LR,,116.5121112349887
Regression,kgrc_scene_id,0.998452910462193,LR,,116.61094080235186
Regression,kgrc_scene_id,0.998452910462193,LR,,116.47861810156192
Regression,kgrc_scene_id,0.998452910462193,LR,,116.4866263727861
Regression,kgrc_scene_id,0.998452910462193,LR,,116.63415691743701
Regression,kgrc_scene_id,0.998452910462193,LR,,116.66164487305426
Regression,kgrc_scene_id,0.998452910462193,LR,,116.49188750027834
Regression,kgrc_scene_id,0.998452910462193,LR,,116.44672190790865
Regression,kgrc_scene_id,0.998452910462193,LR,,116.46910924783921
Regression,kgrc_scene_id,0.998452910462193,LR,,116.57077035661743
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,112.11725103678059
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,111.69406234308045
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,112.16768534270803
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,112.54236206055889
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,111.73686691494315
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,112.05027910227759
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,111.57092132581718
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,111.71548059948944
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,112.37712198202158
Regression,kgrc_scene_id,0.998452910462193,KNN,K=3,111.09948041603839
Regression,kgrc_scene_id,0.998452910462193,M5,,146.60515104809423
Regression,kgrc_scene_id,0.998452910462193,M5,,150.54805203339376
Regression,kgrc_scene_id,0.998452910462193,M5,,149.73865665164817
Regression,kgrc_scene_id,0.998452910462193,M5,,151.30436992076642
Regression,kgrc_scene_id,0.998452910462193,M5,,150.9443458946967
Regression,kgrc_scene_id,0.998452910462193,M5,,149.63153732175365
Regression,kgrc_scene_id,0.998452910462193,M5,,147.73425198748077
Regression,kgrc_scene_id,0.998452910462193,M5,,151.24104197122705
Regression,kgrc_scene_id,0.998452910462193,M5,,147.63439210027417
Regression,kgrc_scene_id,0.998452910462193,M5,,150.07339124697342
